CaseId,Summary__c,Sentiment__c,Sentiment_Reason__c,Suggested_Solution__c,Urgency__c
500gK000006Z8QsQAK,CNA Financial is experiencing TLS handshake EOF errors when deploying via kubectl or Helm with Kube-Enforcer on GKE 1.31. The issue has been investigated and found to be a known Kubernetes behavior unrelated to Kube-Enforcer's functionality.,Neutral,"The customer's issue was addressed and explained, but the resolution involved acknowledging the problem as a known issue without a direct fix.",Move the TLS handshake error logs to 'debug only' mode to prevent false positives and reduce log clutter.,Medium
500gK000006Z8QtQAK,"Customer reported a SQL injection vulnerability in Zabbix versions prior to 2.2.14 and 3.0 before 3.0.4. The issue was triaged, analyzed, and a fix was confirmed by the engineering team.",Neutral,The customer reported a critical issue but acknowledged the efforts of the support team in addressing it.,Continue monitoring the fix implementation and ensure the customer is updated with any further developments or necessary actions.,High
500gK000006Z8QuQAK,Customer reported a SQL injection vulnerability in Zabbix versions which was triaged and resolved by the engineering team confirming the detection of CVE-2016-10134.,Neutral,The customer reported a technical issue which was addressed by the support team without any expressed dissatisfaction or enthusiasm.,Continue monitoring for any further issues related to the CVE and ensure all systems are updated to versions not affected by this vulnerability.,Medium
500gK000006Z8QvQAK,"The customer reported disk I/O errors and connection issues with their on-prem Aqua ESE database. The issue was investigated, and suggestions were forwarded to the application support team.",Neutral,"The customer's issue was acknowledged and is being addressed, but there is no resolution yet.",Continue monitoring the implementation of the suggested solutions by the application support team and reopen the ticket if issues persist.,Medium
500gK000006Z8QwQAK,"The customer is experiencing issues with the User Name Scanner and custom compliance checks, specifically related to error logs that may not be connected to the initially reported functionality.",Negative,The customer is facing technical issues and confusion regarding error logs and their relevance to the custom compliance checks.,"Investigate the error logs further by opening a separate case with detailed information about the issue, context, and steps to reproduce. Ensure that all necessary details are provided for an accurate diagnosis.",Medium
500gK000006Z8QxQAK,"The customer is experiencing issues with the User Name Scanner and custom compliance checks, specifically related to error logs and the functionality of the SLK-64302 flag.",Negative,The customer is facing technical issues and confusion regarding error logs and scanner functionality.,"The support team should investigate the unrelated error logs by opening a separate case as suggested, and provide detailed guidance on using the custom compliance checks.",Medium
500gK000006Z8QyQAK,"The user is experiencing issues with deploying the Aqua microenforcer in an Azure ACA sidecar configuration, facing problems with incorrect server URL settings and volume setup. Additionally, there are permission issues with accessing a jar file within the container.",Negative,The user is facing multiple technical issues and errors which are impacting their deployment and usage of the product.,"Review and correct the Aqua server URL settings, ensure the volume mount path is correctly set up, and adjust file permissions to allow the microenforcer to access the necessary jar file. Provide specific command syntax adjustments for Azure as suggested in the latest communication.",High
500gK000006Z8QzQAK,"The customer needed guidance on integrating GitUser Name for image scanning in Aqua UI, specifically inputting values for build number and pipeline. They also required assistance with saving scan result files in a format accessible by GitUser Name.",Neutral,The customer's messages are primarily requests for technical support without expressing dissatisfaction or praise.,Guide the customer on setting up the build number and pipeline in Aqua UI and instruct them on configuring Docker to save scan result files in a shared location accessible by GitUser Name.,Medium
500gK000006Z8R0QAK,"The customer is exploring assurance policy configurations for Kubernetes resources and is seeking clarification on integrating response policies with Slack, as well as locating audit messages in the UI.",Neutral,The customer is asking questions about configuration best practices.,Provide detailed guidance on linking assurance policies with response policies for Slack notifications via webhook. Clarify where audit messages appear within the Aqua UI for monitoring purposes.,Medium
500gK000006Z8R1QAK,"Production outage in AKS cluster due to User Name enforcers failing liveness/readiness probes. Issue temporarily resolved by killing the enforcers, but concerns about their impact on node health remain.",Negative,The customer experienced a production outage and ongoing concerns about node health.,Review the collected enforcer logs and provide guidance on future log collection and settings to prevent similar issues.,High
500gK000006Z8R2QAK,"The customer reported missing high-severity CVEs in Aqua’s detection for the mosquitto:2.0.18 image, which could delay GE Vernova projects. The issue was escalated and resolved by engineering.",Neutral,The customer highlighted a critical detection gap and emphasized its impact but did not express satisfaction or dissatisfaction after the resolution.,Ensure the vulnerability database and detection logic are up-to-date. Continue monitoring for missing detections and engage proactively with customers for high-profile use cases.,High
500gK000006Z8R3QAK,Customer reports false positive CVE flags for Perl-IO subcomponents in Docker images when using AquaSec's Classic scanner. The issue stems from the scanner’s handling of parent-child package relationships in Red Hat environments.,Neutral,"The customer provided clear repro details and collaborated on the issue, but voiced concern about detection reliability.",Recommend switching to Trivy for improved package version handling and advise disabling the 'Show vulnerabilities of parent package' option in Classic scanner settings.,Medium
500gK000006Z8R4QAK,The user experienced an issue with missing authentication options in the webhook log management integration. The issue was resolved by enabling a specific feature flag.,Positive,The user's issue was resolved and they confirmed the solution was satisfactory.,Enable the specific feature flag to provide the missing authentication options for the webhook integration.,Medium
500gK000006Z8R5QAK,Customer reported an issue with open-source vulnerabilities being incorrectly attributed to the LABEL layer in Docker images instead of the actual layer. Investigation suggested metadata handling differences in the image build process may be causing the misattribution.,Neutral,The customer expressed satisfaction with the final explanation but experienced initial confusion and potential mismanagement due to the issue.,"Advise reviewing the build process and Dockerfile structure to ensure accurate layer attribution, and recommend using standard Docker build tools where possible.",Medium
500gK000006Z8R6QAK,"Customer reported multiple CVEs in various packages on the Console platform, which were addressed and patched in the latest version release.",Neutral,"The customer's issue was resolved with a version update, but no explicit expression of satisfaction was provided.",Verify the new version update and confirm if all reported vulnerabilities are patched. Open a new case if further issues are found.,High
500gK000006Z8R7QAK,Multiple vulnerabilities in the 'kube-enforcer' package were reported and have been resolved with an update to version 2022.4.760 (U35).,Neutral,"The customer's issue was resolved, but no specific feedback or sentiment was provided.",Customer should verify the fix on their end using the provided version tag 2022.4.760 and refer to the release notes for more details.,Medium
500gK000006Z8R8QAK,"The customer is experiencing connection issues between their system and the Istio-proxy in one specific cluster, causing project delays. The support team is actively troubleshooting by analyzing logs and adjusting settings.",Negative,The customer expressed frustration due to project delays caused by ongoing technical issues.,"Continue to analyze the provided logs, adjust the enforcer group settings as discussed, and coordinate closely with the customer to test changes and ensure resolution.",High
500gK000006Z8R9QAK,"The customer reported that their ezyVet production AWS account had not logged any scans in 68 days, despite both scheduled and manual triggers. Engineering investigated and confirmed that scanning is now functioning correctly.",Neutral,The customer reported the issue calmly and sought clarification on scanning behavior.,Engineering confirmed the scanning issue and resolved it. Recommend continued monitoring of the scan schedule and prompt reporting of future discrepancies.,Medium
500gK000006Z8RAQA0,"Pods running the Starboard 0.15.24 image in a non-prod environment entered a crash loop backoff due to an 'exec format error'. The root cause was identified as an incorrect image architecture. After deploying the correct image, the issue was resolved.",Neutral,"The customer acknowledged that the pods are now running fine, but did not express specific satisfaction or provide additional feedback.",Ensure the architecture of scanner images aligns with the deployment environment to avoid compatibility errors such as 'exec format error'.,High
500gK000006Z8RBQA0,The user is experiencing issues with the Aqua security feature not showing parent package vulnerabilities as expected in scan results.,Negative,The user is confused and dissatisfied with the functionality and explanation of the feature.,"Clarify the definition and functionality of parent packages in the security tool, and ensure the feature works as intended or improve documentation to manage user expectations.",Medium
500gK000006Z8RCQA0,"The user experienced an error 'failed connecting to registry, access forbidden' while setting up Aqua for their CICD pipeline. The issue was resolved after confirming the image was not present in the container registry.",Neutral,The user encountered a technical error but confirmed resolution without expressing strong dissatisfaction or praise.,Ensure that images are present in the registry before attempting to scan and keep the support ticket open for any further issues.,Medium
500gK000006Z8RDQA0,The customer requested API specifications or Swagger documentation for a specific API. The ticket remained pending without any response or action taken by the support team and was eventually flagged as resolved without customer follow-up.,Neutral,The customer made a request to the support team for API specifications or Swagger documentation.,Follow up with the customer to confirm what API documentation is required.,Medium
500gK000006Z8REQA0,"Customer experienced an issue creating a scanner group for remote scanners, where the integrations list remained empty until a missing FeatureFlag was enabled.",Neutral,"The customer encountered a functional issue that was resolved with a configuration fix, with no expressed dissatisfaction or praise.",Customer should verify the solution and open a new ticket if further issues arise.,Medium
500gK000006Z8RFQA0,"The customer was unable to limit scanner groups for CI/CD to AppScopes in their production environment, a feature available in their Development environment. The issue was resolved by enabling a specific FeatureFlag.",Neutral,The customer acknowledged the fix without expressing explicit satisfaction.,Ensure that all necessary FeatureFlags are enabled during updates or changes to prevent similar issues in the future.,Low
500gK000006Z8RGQA0,Customer is experiencing issues with security enforcer settings logs not appearing in Splunk. Investigations suggest it's not an issue on Splunk's side. A working session with the Splunk team is planned to further diagnose the problem.,Neutral,"The customer is cooperative and actively participating in resolving the issue, but the problem persists.",Proceed with the planned working session with the Splunk team to diagnose and potentially resolve the logging issue.,High
500gK000006Z8RHQA0,The customer reported a significant and unexplained increase in vulnerabilities during February and March across two applications.,Negative,"The customer experienced a vulnerability spike despite no code changes, leading to frustration before the issue was resolved.","Review the root cause of the false positive, provide transparency on detection logic, and offer best practices to identify and respond to similar cases.",Medium
500gK000006Z8RIQA0,Customer is facing an issue where an image remains non-compliant despite acknowledging critical findings in the QA environment.,Negative,Customer is frustrated due to the persistent non-compliance issue of the image even after following the required acknowledgment steps.,"Investigate the specific CVEs causing the non-compliance, especially those with custom severities, and ensure all are acknowledged. Consider enabling the 'Use custom severity when available' option in the IAP settings.",High
500gK000006Z8SHQA0,Customer requests an increase in cloud license count from 2 to 3.,Neutral,The customer's request is straightforward and there is no indication of dissatisfaction or exceptional praise in the interaction.,"Verify the customer's account details, confirm pricing and terms for the additional license, and process the license increase request.",Medium
500gK000006Z8SIQA0,"The customer reported a runtime error affecting all Aqua scans triggered by pull request code scanning, indicating a system-wide failure starting at a specific time.",Neutral,"The customer is reporting a critical issue without expressing frustration or satisfaction, and there's no confirmation of resolution in the message.","Investigate the root cause of the runtime panic error in the Trivy plugin, provide a fix or mitigation, and follow up with the customer to confirm resolution.",Medium
500gK000006Z8SJQA0,"The customer reported that while the kube enforcer shows as connected, it is not displaying Kubernetes resource scan results, indicating potential issues with its configuration or integration.",Negative,The customer is facing a critical functionality issue with the kube enforcer affecting visibility into scan results.,Review the starboard operator logs and verify the kustomization file configuration. Check that the correct registry credentials are referenced and that the operator can access the required image repositories.,High
